temperature,city,pression,date
6.79,Paris,1008,2025-01-29 09:37
5.11,London,1003,2025-01-29 09:37
-6.91,Washington,1026,2025-01-29 09:37
6.79,Paris,1008,2025-01-29 09:35
5.11,London,1003,2025-01-29 09:35
-6.91,Washington,1026,2025-01-29 09:35
6.79,Paris,1008,2025-01-29 09:30
5.11,London,1003,2025-01-29 09:30
-6.91,Washington,1026,2025-01-29 09:30
6.59,Paris,1008,2025-01-29 09:25
4.97,London,1003,2025-01-29 09:25
-6.91,Washington,1026,2025-01-29 09:25
6.75,Paris,1008,2025-01-29 09:20
4.97,London,1003,2025-01-29 09:20
-6.91,Washington,1026,2025-01-29 09:20
6.59,Paris,1008,2025-01-29 09:15
4.96,London,1003,2025-01-29 09:15
-6.91,Washington,1026,2025-01-29 09:15
6.53,Paris,1008,2025-01-29 09:10
4.75,London,1003,2025-01-29 09:10
-6.91,Washington,1026,2025-01-29 09:10
6.54,Paris,1008,2025-01-29 09:05
4.85,London,1003,2025-01-29 09:05
-6.91,Washington,1026,2025-01-29 09:05
6.51,Paris,1008,2025-01-29 09:00
4.91,London,1003,2025-01-29 09:00
-6.91,Washington,1026,2025-01-29 09:00
6.51,Paris,1008,2025-01-29 08:58
4.92,London,1003,2025-01-29 08:58
-6.91,Washington,1026,2025-01-29 08:58
6.51,Paris,1008,2025-01-29 08:56
4.82,London,1003,2025-01-29 08:56
-6.91,Washington,1026,2025-01-29 08:56
6.51,Paris,1008,2025-01-29 08:55
4.85,London,1003,2025-01-29 08:55
-6.91,Washington,1026,2025-01-29 08:55
6.51,Paris,1008,2025-01-29 08:53
4.82,London,1003,2025-01-29 08:53
-6.91,Washington,1026,2025-01-29 08:53
6.51,Paris,1008,2025-01-29 08:51
4.82,London,1003,2025-01-29 08:51
-6.91,Washington,1026,2025-01-29 08:51
6.51,Paris,1008,2025-01-29 08:50
4.82,London,1003,2025-01-29 08:50
-6.91,Washington,1026,2025-01-29 08:50
